Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Jane,tvui,movieDetails,,,2021-12-24 10:17:20
Jane,tvui,screenSaver,,,2021-12-24 10:17:19
Jane,tvui,postPlay,,,2021-12-24 10:17:19
Jane,tvui,screenSaver,,,2021-12-24 10:17:19
Jane,tvui,postPlay,,,2021-12-24 10:17:19
Jane,tvui,postPlay,,,2021-12-24 10:07:18
Jane,tvui,screenSaver,,,2021-12-24 10:07:18
Jane,tvui,playback,,,2021-12-24 09:59:43
Jane,tvui,postPlay,,,2021-12-24 09:59:43
Jane,tvui,profilesGate,,,2021-12-24 09:36:10
Jane,tvui,movieDetails,,,2021-12-24 09:00:05
Jane,tvui,playback,,,2021-12-24 09:00:05
Jane,tvui,search,,,2021-12-24 09:00:03
Jane,tvui,movieDetails,,,2021-12-24 09:00:03
Jane,tvui,browseTitles,,,2021-12-24 08:59:58
Jane,tvui,search,,,2021-12-24 08:59:58
Jane,tvui,profilesGate,,,2021-12-24 08:59:35
Jane,tvui,browseTitles,,,2021-12-24 08:59:35
Jane,iOS,browseTitles,,,2021-12-23 21:32:34
Jane,iOS,search,,,2021-12-23 21:32:34
Jane,iOS,profilesGate,,,2021-12-23 21:32:32
Jane,iOS,browseTitles,,,2021-12-23 21:32:32
Jane,iOS,profilesGate,,,2021-12-23 21:32:31
Jane,tvui,profilesGate,,,2021-12-22 19:55:22
Jane,tvui,search,,,2021-12-22 19:55:22
Jane,tvui,browseTitles,,,2021-12-22 19:22:26
Jane,tvui,search,,,2021-12-22 19:22:26
Jane,tvui,browseTitles,,,2021-12-22 19:22:20
Jane,tvui,profilesGate,,,2021-12-22 19:22:20
Jane,tvui,profilesGate,,,2021-12-22 19:20:16
Jane,tvui,profilesGate,,,2021-12-21 21:43:54
Jane,tvui,browseTitles,,,2021-12-21 21:43:54
Jane,tvui,browseTitles,,,2021-12-21 21:13:53
Jane,tvui,movieDetails,,,2021-12-21 21:13:53
Jane,tvui,browseTitles,,,2021-12-21 21:13:50
Jane,tvui,movieDetails,,,2021-12-21 21:13:50
Jane,tvui,browseTitles,,,2021-12-21 21:13:45
Jane,tvui,movieDetails,,,2021-12-21 21:13:45
Jane,tvui,browseTitles,,,2021-12-21 21:13:41
Jane,tvui,movieDetails,,,2021-12-21 21:13:41
Jane,tvui,movieDetails,,,2021-12-21 21:13:20
Jane,tvui,browseTitles,,,2021-12-21 21:13:20
Jane,tvui,browseTitles,,,2021-12-21 21:13:17
Jane,tvui,movieDetails,,,2021-12-21 21:13:17
Jane,tvui,browseTitles,,,2021-12-21 21:12:57
Jane,tvui,movieDetails,,,2021-12-21 21:12:57
Jane,tvui,similarTitlesSelector,,,2021-12-21 21:12:56
Jane,tvui,movieDetails,,,2021-12-21 21:12:56
Jane,tvui,movieDetails,,,2021-12-21 21:12:39
Jane,tvui,movieDetails,,,2021-12-21 21:12:39
Jane,tvui,movieDetails,,,2021-12-21 21:12:39
Jane,tvui,similarTitlesSelector,,,2021-12-21 21:12:39
Jane,tvui,movieDetails,,,2021-12-21 21:12:29
Jane,tvui,postPlay,,,2021-12-21 21:12:29
Jane,tvui,playback,,,2021-12-21 21:12:19
Jane,tvui,postPlay,,,2021-12-21 21:12:19
Jane,tvui,playback,,,2021-12-21 19:30:55
Jane,tvui,movieDetails,,,2021-12-21 19:30:55
Jane,tvui,browseTitles,,,2021-12-21 19:30:53
Jane,tvui,movieDetails,,,2021-12-21 19:30:53
Jane,tvui,movieDetails,,,2021-12-21 19:30:45
Jane,tvui,browseTitles,,,2021-12-21 19:30:45
Jane,tvui,profilesGate,,,2021-12-21 19:30:42
Jane,tvui,movieDetails,,,2021-12-21 19:30:42
Jane,tvui,profilesGate,,,2021-12-21 19:30:41
Jane,tvui,profilesGate,,,2021-12-21 17:47:13
Jane,tvui,movieDetails,,,2021-12-21 17:47:13
Jane,tvui,screenSaver,,,2021-12-21 17:43:41
Jane,tvui,movieDetails,,,2021-12-21 17:43:41
Jane,tvui,screenSaver,,,2021-12-21 17:22:13
Jane,tvui,postPlay,,,2021-12-21 17:22:13
Jane,tvui,playback,,,2021-12-21 17:11:30
Jane,tvui,postPlay,,,2021-12-21 17:11:30
Jane,tvui,movieDetails,,,2021-12-21 16:47:22
Jane,tvui,playback,,,2021-12-21 16:47:22
Jane,tvui,browseTitles,,,2021-12-21 16:47:20
Jane,tvui,movieDetails,,,2021-12-21 16:47:20
Jane,iOS,movieDetails,,,2021-12-21 16:47:15
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:47:14
Jane,iOS,movieDetails,,,2021-12-21 16:47:14
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:47:14
Jane,tvui,profilesGate,,,2021-12-21 16:46:30
Jane,tvui,profilesGate,,,2021-12-21 16:46:30
Jane,tvui,browseTitles,,,2021-12-21 16:46:30
Jane,tvui,profilesGate,,,2021-12-21 16:46:17
Jane,iOS,movieDetails,,,2021-12-21 16:45:11
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:45:11
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:44:03
Jane,iOS,movieDetails,,,2021-12-21 16:44:03
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:44:03
Jane,iOS,movieDetails,,,2021-12-21 16:44:03
Jane,iOS,movieDetails,,,2021-12-21 16:43:52
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:43:52
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:43:40
Jane,iOS,movieDetails,,,2021-12-21 16:43:40
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:43:40
Jane,iOS,movieDetails,,,2021-12-21 16:43:40
Jane,iOS,movieDetails,,,2021-12-21 16:43:36
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:43:36
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:43:33
Jane,iOS,movieDetails,,,2021-12-21 16:43:33
Jane,iOS,browseTitlesGallery,,,2021-12-21 16:43:33
Jane,iOS,movieDetails,,,2021-12-21 16:43:33
